codigo_pais,pais,dep,ciudad,PROV,nomprov,sec,nombremunicipio,idloc,AsientoElectoral,dist,nomdist,zona,nomzona,CIRCUNDIST,RECI,recinto_electoral,cantidadMesas,inscritos_habilitados,Inhabilitados,Depurados
11,ARGENTINA,12,JUJUY,3,DR. MANUEL BELGRANO,1,SAN SALVADOR DE JUJUY,3613,SAN SALVADOR DE JUJUY,1,DISTRITO JUJUY,101,ZONA JUJUY,0,25066,ESCUELA NORMAL SUPERIOR JUAN IGNACIO GORRITI,33,7832,32,41
11,ARGENTINA,12,JUJUY,5,EL CARMEN,1,PERICO,4376,PERICO,1,DISTRITO PERICO,1,PERICO,0,26088,POR DEFINIR - PERICO,2,400,0,0
11,ARGENTINA,12,JUJUY,6,SAN PEDRO,1,SAN PEDRO DE JUJUY,4377,SAN PEDRO,1,DISTRITO SAN PEDRO,1,SAN PEDRO,0,26089,POR DEFINIR - SAN PEDRO,2,280,0,0
11,ARGENTINA,12,JUJUY,4,YAVÍ,2,LA QUIACA,3760,LA QUIACA,1,DISTRITO LA QUIACA,101,ZONA LA QUIACA,0,25067,ESCUELA DE MINAS DR. HORACIO CARRILLO SEDE LA QUIACA,3,533,2,5
11,ARGENTINA,96,LA PAMPA,1,CAPITAL,1,SANTA ROSA,4391,SANTA ROSA,1,DISTRITO SANTA ROSA,1,SANTA ROSA,0,26103,POR DEFINIR - SANTA ROSA,1,125,2,0
11,ARGENTINA,88,LA RIOJA,1,CHILECITO,1,CHILECITO,4378,VICHIGASTA,1,DISTRITO VICHIGASTA,1,VICHIGASTA,0,26090,DELEGACION MUNICIPAL DE VICHIGASTA,3,496,13,0
11,ARGENTINA,11,MENDOZA,2,CAPITAL,1,CAPITAL,3612,MENDOZA,1,DISTRITO MENDOZA,101,ZONA MENDOZA,0,25065,ESCUELA “PATRICIAS MENDOCINAS”,17,3884,13,31
11,ARGENTINA,11,MENDOZA,4,LUJÁN DE CUYO,1,LUJÁN DE CUYO,4144,UGARTECHE,1,DISTRITO UGARTECHE,1,UGARTECHE,0,25149,ESCUELA LUIS BALDINI,11,2531,15,9
11,ARGENTINA,11,MENDOZA,3,MAIPÚ,1,MAIPÚ,4143,RODEO DEL MEDIO,1,DISTRITO RODEO DEL MEDIO,1,RODEO DEL MEDIO,0,25148,ESCUELA “JOHN FITZGERALD KENNEDY”,15,3401,16,10
11,ARGENTINA,11,MENDOZA,5,SAN CARLOS,1,SAN CARLOS,4145,VILLA SAN CARLOS,1,DISTRITO VILLA SAN CARLOS,1,VILLA SAN CARLOS,0,25150,ESCUELA FUERTE SAN CARLOS,6,1375,12,7
11,ARGENTINA,11,MENDOZA,6,SAN RAFAEL,1,SAN RAFAEL,4146,SALTO DE LAS ROSAS,1,DISTRITO SALTO DE LAS ROSAS,1,SALTO DE LAS ROSAS,0,25151,ESCUELA “PEDRO GOYENA”,3,557,2,4
11,ARGENTINA,89,NEUQUÉN,1,CONFLUENCIA,1,CENTENARIO,4379,CENTENARIO,1,DISTRITO CENTENARIO,1,CENTENARIO,0,26091,POR DEFINIR - CENTENARIO,4,789,4,0
11,ARGENTINA,23,RIO NEGRO,7,ADOLFO ALSINA,1,VIEDMA,3766,VIEDMA,1,DISTRITO VIEDMA,101,ZONA VIEDMA,0,25091,UNIVERSIDAD NACIONAL DE RIO NEGRO,5,1095,6,1
11,ARGENTINA,22,SALTA,6,CAPITAL,1,SALTA,3763,SALTA,1,DISTRITO SALTA,101,ZONA SALTA,0,25088,COLEGIO NACIONAL SALTA Nº5080,11,2590,4,13
11,ARGENTINA,22,SALTA,7,GENERAL JOSÉ DE SAN MARTÍN,1,PROFESOR SALVADOR MAZZA,3764,PROFESOR SALVADOR MAZZA,1,DISTRITO POCITOS,101,ZONA POCITOS,0,25089,MUNICIPALIDAD DE PROFESOR SALVADOR MAZZA,2,392,3,1
